Date : 2026-01-24 18:26:42
Directory : /home/jennifer/repos/Doorchime-CR2-VSCode/Application/CR2-VSCode
Total : 1122 files,  1165357 codes, 206681 comments, 93290 blanks, all 1465328 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        317 |    939,019 |    112,701 |     49,834 |  1,101,554 |
| C            |        676 |    199,085 |     91,358 |     37,559 |    328,002 |
| ARM          |        106 |     25,814 |      2,557 |      5,564 |     33,935 |
| CMake        |         18 |        918 |          0 |        299 |      1,217 |
| JSON         |          4 |        368 |          0 |          2 |        370 |
| LinkerScript |          1 |        153 |         65 |         32 |        250 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |      1,122 |  1,165,357 |    206,681 |     93,290 |  1,465,328 |
| . (Files)                                                                                                                                                                      |          4 |        642 |        132 |        185 |        959 |
| .settings                                                                                                                                                                      |          3 |        329 |          0 |          2 |        331 |
| Core                                                                                                                                                                           |         51 |    674,316 |      1,258 |        765 |    676,339 |
| Core/Inc                                                                                                                                                                       |         41 |    672,922 |        204 |        302 |    673,428 |
| Core/Inc (Files)                                                                                                                                                               |          3 |        255 |        204 |        103 |        562 |
| Core/Inc/sound_headers                                                                                                                                                         |         38 |    672,667 |          0 |        199 |    672,866 |
| Core/Libraries                                                                                                                                                                 |          4 |        760 |        319 |        191 |      1,270 |
| Core/Src                                                                                                                                                                       |          6 |        634 |        735 |        272 |      1,641 |
| Drivers                                                                                                                                                                        |      1,061 |    489,913 |    205,291 |     92,294 |    787,498 |
| Drivers/CMSIS                                                                                                                                                                  |        879 |    380,422 |     84,815 |     62,508 |    527,745 |
| Drivers/CMSIS/Core                                                                                                                                                             |         26 |     20,127 |      9,646 |      7,161 |     36,934 |
| Drivers/CMSIS/Core/Include                                                                                                                                                     |         24 |     20,001 |      9,570 |      7,103 |     36,674 |
| Drivers/CMSIS/Core/Template                                                                                                                                                    |          2 |        126 |         76 |         58 |        260 |
| Drivers/CMSIS/Core/Template/ARMv8-M                                                                                                                                            |          2 |        126 |         76 |         58 |        260 |
